["Bornova_1",38.4676,27.2136
],["Bornova_2",38.4630,27.2086
],["Bornova_3",38.4223,27.1892
],["Bornova_4",38.4638,27.2274
],["Bornova_5",38.4176,27.1862
],["Bornova_7",38.4632,27.2177
],["Bornova_8",38.4741,27.2344
],["Bornova_9",38.4459,27.2232
],["Bornova_10",38.4335,27.2720
],["Bornova_11",38.4625,27.2571
],["Bornova_12",38.4504,27.2544
],["Bornova_13",38.4558,27.2170
],["Bornova_14",38.4671,27.2138
],["Bornova_15",38.4546,27.2285
],["Bornova_16",38.4661,27.2538]
